ID,AX,AY,AZ,GX,GY,GZ,TIMESTAMP,TOGGLE_VAR
224,3.790021181106568,-1.58256733417511,-9.98382091522217,0.484162330627442,-0.008793261833489,-0.541451752185822,2024-06-26T12:43:40-05:00,1
225,4.015076160430909,-1.517923831939698,-9.55286502838135,0.285114854574204,-0.053558956831694,-0.470306277275086,2024-06-26T12:43:40-05:00,1
226,4.034229755401613,-2.008735179901123,-9.19373416900635,0.152949467301369,-0.112447164952755,-0.245678409934044,2024-06-26T12:43:43-05:00,1
224,3.790021181106568,-1.58256733417511,-9.98382091522217,0.484162330627442,-0.008793261833489,-0.541451752185822,2024-06-26T12:43:40-05:00,1
225,4.015076160430909,-1.517923831939698,-9.55286502838135,0.285114854574204,-0.053558956831694,-0.470306277275086,2024-06-26T12:43:40-05:00,1
226,4.034229755401613,-2.008735179901123,-9.19373416900635,0.152949467301369,-0.112447164952755,-0.245678409934044,2024-06-26T12:43:43-05:00,1
227,-4.204218387603761,-7.860164165496828,-2.60010313987732,-0.402358323335648,-0.223562017083168,-0.295773357152939,2024-06-26T12:43:43-05:00,1
228,-3.928884983062745,-8.67179870605469,-2.585737943649292,-0.223562017083168,-0.110848397016525,-0.155614092946053,2024-06-26T12:43:44-05:00,1
229,-5.044582843780519,-8.741230010986328,-1.211466073989868,-0.54997855424881,0.3759785592556,0.338140904903412,2024-06-26T12:43:44-05:00,1
230,-3.215412855148316,-7.161057472229006,-4.474762916564943,-0.912634015083313,0.582220554351807,0.045831546187401,2024-06-26T12:43:44-05:00,1
231,-4.072536945343019,-6.672640323638918,-5.738901615142824,-1.430370569229126,0.274189889431,0.54544872045517,2024-06-26T12:43:44-05:00,1
232,-6.394912719726565,-6.945579051971438,-6.679822921752932,0.254205197095871,0.928621768951416,0.259534448385239,2024-06-26T12:43:44-05:00,1
233,-6.076483726501467,-5.018246650695802,-8.487444877624513,-0.627252638339997,0.998434901237488,0.545182228088379,2024-06-26T12:43:44-05:00,1
234,-3.050212860107423,-4.252102375030519,-7.536946773529055,-0.649369060993195,0.839889764785767,0.576624751091004,2024-06-26T12:43:44-05:00,1
235,-2.604891538619996,-3.186682462692262,-7.639897823333742,-0.76981008052826,0.849748849868775,0.720514535903931,2024-06-26T12:43:45-05:00,1
236,-2.655169725418091,-2.63362193107605,-8.362946510314943,-0.915831506252289,0.911834597587586,0.691203653812409,2024-06-26T12:43:45-05:00,1
237,-2.667140722274781,-1.984793186187745,-8.966285705566408,-0.925690591335297,0.835626304149628,0.580355286598206,2024-06-26T12:43:45-05:00,1
238,-2.387019157409668,-1.544260144233704,-9.239224433898928,-0.620324671268463,0.766612529754639,0.547846853733063,2024-06-26T12:43:45-05:00,1
239,-1.680729627609253,-2.355894565582276,-8.935160636901857,-0.425807029008865,1.117543578147888,0.401026010513306,2024-06-26T12:43:45-05:00,1
240,-0.732625722885132,-1.403002142906189,-8.571242332458498,-0.31868913769722,1.140459418296814,0.130566611886025,2024-06-26T12:43:45-05:00,1
