ID,AX,AY,AZ,GX,GY,GZ,TIMESTAMP,TOGGLE_VAR
23,3.761290788650514,-1.240196466445923,-9.598354339599611,0.006128636654466,-0.012523736804724,0.032508421689272,2024-06-26T12:20:00-05:00,1
24,3.78762698173523,-1.237802267074585,-9.639056205749513,0.136162325739861,0.010392036288977,-0.048496171832085,2024-06-26T12:20:01-05:00,1
25,3.785232782363892,-1.556231141090393,-9.624691009521486,-0.019185297191143,0.044765695929527,-0.048762634396553,2024-06-26T12:20:01-05:00,1
26,3.823540210723878,-1.398213744163513,-9.627084732055666,0.012523736804724,-0.049828484654427,-0.107384383678436,2024-06-26T12:20:01-05:00,1
27,3.952826976776124,-1.292868971824646,-9.651026725769045,-0.011191423982382,-0.028245022520423,0,2024-06-26T12:20:01-05:00,1
28,3.57214903831482,-2.240972757339478,-9.490615844726564,-0.18226033449173,-0.017053598538041,-0.18385910987854,2024-06-26T12:20:01-05:00,1
29,3.766079187393189,-1.383848547935486,-9.686940193176271,0.052226644009352,0.012257273308933,0.023448698222637,2024-06-26T12:20:02-05:00,1
30,3.706224203109742,-1.889025092124939,-9.414001464843752,-0.17719754576683,-0.061019908636808,-0.211837664246559,2024-06-26T12:20:02-05:00,1
31,3.794809579849244,-1.307234168052674,-9.816226959228517,0.110315464437008,-0.181194484233856,-0.343203663825989,2024-06-26T12:20:02-05:00,1
32,3.512293815612794,-1.422155857086182,-9.634267807006838,-0.018385911360383,0.077540583908558,0.06901378184557,2024-06-26T12:20:03-05:00,1
33,3.51708221435547,-1.34554135799408,-9.753977775573732,0.01438897382468,-0.04263399541378,-0.076208271086216,2024-06-26T12:20:03-05:00,1
34,3.476380825042725,-1.218648672103882,-9.777919769287111,-0.013323123566806,0.02877794764936,-0.006928024813533,2024-06-26T12:20:04-05:00,1
35,3.354276657104493,-1.156399369239807,-10.223240852355959,0.265130162239075,0.054624807089567,-0.159611031413078,2024-06-26T12:20:04-05:00,1
36,3.253720045089723,-1.472434043884278,-9.526528358459474,0.153748854994774,-0.118842266499996,0.213169977068901,2024-06-26T12:20:04-05:00,1
37,3.251325845718385,-2.013523578643799,-9.861717224121096,-0.136695250868797,0.019984684884548,0.043699845671654,2024-06-26T12:20:04-05:00,1
38,3.107673883438111,-2.008735179901123,-9.64384460449219,-0.09352833032608,0.015454824082553,0.021849922835827,2024-06-26T12:20:04-05:00,1
39,3.167528867721558,-1.963245391845704,-9.65342140197754,-0.067681469023228,0.014122511260211,0.015454824082553,2024-06-26T12:20:04-05:00,1
40,3.248931646347047,-1.886630892753601,-9.701305389404299,0.035972435027361,-0.03783767297864,0.119375191628933,2024-06-26T12:20:04-05:00,1
41,3.150769472122193,-1.83156430721283,-9.694122314453127,0.073543645441532,-0.07061255723238,0.187323123216629,2024-06-26T12:20:04-05:00,1
42,2.877830505371094,-1.623268723487854,-10.06043529510498,-0.131099537014961,-0.147353753447533,0.197981625795364,2024-06-26T12:20:04-05:00,1
